station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
BLEECKER St,14,302,302,110,17,3,81,130,268,20,243,186,558,1,745
BOROUGH HALL,2,38,55,25,4,1,9,54,27,4,29,31,93,0,124
BOTANIC GARDEN,1,13,3,0,0,0,0,9,5,0,3,5,12,0,17
BOWERY,1,18,28,8,4,0,11,10,16,1,21,17,42,0,59
BOWLING GREEN,0,10,18,7,0,0,0,13,15,1,6,3,32,0,35
BRIGHTON BEACH,3,61,119,87,8,0,22,20,55,17,164,68,209,1,278
BROAD CHANNEL,0,3,2,0,0,0,0,1,1,1,2,0,5,0,5
BROAD St,0,9,18,2,0,0,2,3,15,1,8,7,22,0,29
BROADWAY,0,9,18,6,0,0,2,3,21,1,6,1,32,0,33
BROADWAY-EAST NEW YORK,7,71,96,38,2,0,4,116,64,3,27,62,151,1,214
BROADWAY-EASTERN PKWY,0,4,3,1,0,0,0,5,2,0,1,0,8,0,8
BROADWAY/LAFAYETTE,11,299,302,91,18,6,109,121,242,18,226,222,498,2,722
BROADWAY/NASSAU,52,1060,1232,357,59,19,235,1034,914,118,443,690,2064,9,2763
BRONX PARK EAST,2,71,99,43,3,2,28,79,86,5,18,30,188,0,218
BROOK Av,3,99,184,81,10,0,5,151,194,6,22,25,353,0,378
BROOKLYN BRIDGE-CITY HALL,2,27,35,6,0,0,6,17,30,0,17,12,58,0,70
BUHRE Av,0,2,0,1,0,0,0,1,2,0,0,1,2,0,3
BURKE Av,4,28,40,19,4,0,5,56,27,3,4,17,77,1,95
BURNSIDE Av,4,109,159,52,9,1,2,156,157,5,14,29,305,1,335
BUSHWICK Av-ABERDEEN St,0,3,5,1,0,0,0,1,1,0,7,4,5,0,9
CANAL St,27,521,604,175,41,5,170,305,472,79,338,368,1000,1,1369
CARROLL St,0,8,27,9,0,0,3,3,18,2,18,9,35,0,44
CASTLE HILL Av,2,61,67,41,4,0,16,34,119,3,3,10,165,0,175
CENTRAL Av,0,0,3,0,0,0,0,2,0,0,1,1,2,0,3
CHAMBERS St-WORLD TRADE CENTER,2,84,80,29,3,3,16,53,75,8,43,38,159,1,198
CHAMBERS St,8,94,115,34,6,1,26,80,104,2,44,66,191,0,257
