station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
51 STREET,3,134,175,46,9,0,40,66,154,16,93,123,245,1,369
52 STREET,0,54,112,59,3,0,32,9,137,29,21,69,159,0,228
53 STREET,2,22,43,22,1,0,6,14,59,2,9,11,79,0,90
55 STREET,0,1,7,3,0,0,0,1,7,0,3,6,5,0,11
57 STREET,2,68,89,23,4,2,32,14,98,9,36,36,155,0,191
59 ST.-COLUMBUS CIRCLE,106,1800,1898,572,82,12,462,884,1755,162,1207,1290,3180,12,4482
59 STREET,27,459,619,208,19,7,125,287,622,45,249,288,1039,8,1335
6,175,3504,4450,1833,222,32,858,2487,4803,309,1718,2183,7993,31,10207
6 AVENUE,0,14,13,3,1,0,5,6,10,1,9,6,25,0,31
61 ST.-WOODSIDE,1,73,112,44,2,3,26,10,158,21,15,44,189,0,233
62 STREET,0,3,17,3,0,0,2,3,12,3,3,5,18,0,23
63 DRIVE-REGO PARK,1,16,17,13,2,0,9,2,23,4,11,22,27,0,49
65 STREET,0,2,6,3,0,1,1,0,8,0,1,2,9,0,11
66 ST.-LINCOLN CENTER,0,14,10,8,3,0,3,9,12,1,10,6,29,0,35
67 AVENUE,1,1,13,8,0,0,5,4,8,0,6,11,12,0,23
68 ST.-HUNTER COLLEGE,14,257,216,115,4,4,87,99,223,18,176,213,391,3,607
69 STREET,10,225,362,125,11,2,74,18,577,39,23,106,624,3,733
7,148,3607,5888,1949,193,20,970,541,9131,556,590,2449,9325,34,11808
7 AVENUE,2,32,63,29,2,0,14,21,43,5,46,43,86,0,129
71 AVE.-FOREST HILLS,8,59,70,23,2,1,21,36,58,14,32,45,117,0,162
71 STREET,0,12,24,18,1,0,16,2,20,4,13,17,38,0,55
72 STREET,4,156,196,102,10,1,40,82,202,20,124,166,302,1,469
72ND STREET,0,17,32,25,2,0,14,10,20,1,31,32,44,0,76
74 ST.-BROADWAY,17,432,708,214,22,5,163,53,1027,91,56,266,1125,4,1395
75 AVENUE,0,4,5,1,0,0,0,2,8,0,0,3,7,0,10
75 ST.-ELDERTS LANE,0,6,13,7,0,0,3,4,18,0,1,4,22,0,26
77 STREET,15,235,299,131,14,3,72,118,332,21,149,183,511,1,695
79 STREET,0,39,73,60,2,2,34,10,89,8,31,44,129,1,174
7TH AVENUE,0,3,13,5,0,0,0,2,9,0,10,6,15,0,21
8 AVENUE,2,97,153,76,16,2,136,35,105,17,50,107,236,2,345
8 ST.-NYU,0,12,13,3,4,1,7,8,6,5,5,7,25,0,32
80 STREET,1,25,40,25,2,0,16,15,50,9,3,14,79,0,93
81 ST.-MUSEUM OF NATURAL HISTORY,0,15,16,2,0,0,6,7,4,0,16,14,19,0,33
82 ST.-JACKSON HEIGHTS,18,363,624,178,23,0,41,31,1053,34,51,253,953,4,1210
85 ST.-FOREST PKWY.,0,2,15,8,0,1,2,2,17,2,1,7,18,0,25
86 STREET,23,547,660,246,35,7,105,344,685,43,333,380,1131,6,1517
86TH STREET,1,47,70,31,6,1,18,18,28,2,88,58,97,0,155
88 STREET,1,14,18,13,3,0,3,17,22,5,2,1,48,0,49
9 AVENUE,0,7,5,12,0,1,3,5,12,1,2,5,19,0,24
90 ST.-ELMHURST AVE.,7,268,560,248,21,4,47,12,961,58,24,255,846,5,1106
95 STREET-BAY RIDGE,0,2,1,2,0,0,0,0,3,1,1,1,4,0,5
96 STREET,23,491,566,229,28,3,104,308,604,37,286,368,967,7,1342
96TH STREET,0,55,87,34,6,0,18,59,50,14,41,56,126,0,182
9TH STREET,4,22,29,12,3,0,6,23,28,1,12,12,58,0,70
A,25,574,940,493,67,12,164,840,820,105,166,396,1709,2,2107
"A,B,C,D",79,1737,2396,916,112,11,375,1639,1909,208,1128,1476,3771,22,5270
"A,B,C,D,E,F,M",5,447,371,72,12,2,86,174,227,43,378,251,658,1,910
"A,C",77,1737,2432,749,96,27,382,1931,1656,188,918,1260,3822,20,5102
